isoFit version: isoFit0.1
No.	T(C)	P(bars)	Xalm	Xprp	Xsps	Xgrs	Mg#	Fe#	obs_Xalm	obs_Xprp	obs_Xsps	obs_Xgrs	obs_Mg#	obs_Fe#	GrtVolCC	GrtCumulMode	blk_Si	blk_Al	blk_Fe	blk_Mg	blk_Mn	blk_Ca	blk_Na	blk_K	blk_Ti	blk_H
1	547.82923000	4822.87090000	0.71587433	0.061566586	0.11568660	0.10687248	0.079191338	0.92080866	0.70970000	0.065600000	0.11450000	0.11020000	0.084612408	0.91538759	19.41743926	1.029219726	49.6703540	24.3202360	4.05006040	2.36826210	0.0429252630	0.329106150	2.25000000	6.13000000	0.820000000	60.0000000
2	547.41572000	4844.14380000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70690000	0.064800000	0.11280000	0.11540000	0.083970455	0.91602955	0.0000000000	1.029228150	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
3	546.10573000	5075.67960000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70050000	0.063800000	0.12010000	0.11560000	0.083475075	0.91652492	0.0000000000	1.029452746	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
4	544.25023000	5300.00010000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70410000	0.064200000	0.11580000	0.11580000	0.083561109	0.91643889	0.0000000000	1.029667120	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
5	542.32597000	5485.89700000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70260000	0.062500000	0.11380000	0.12110000	0.081688668	0.91831133	0.0000000000	1.029844659	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
6	539.98326000	5695.70330000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69990000	0.064100000	0.11320000	0.12280000	0.083900524	0.91609948	0.0000000000	1.030052475	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
7	537.80507000	5863.63050000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70370000	0.062600000	0.11390000	0.11990000	0.081691244	0.91830876	0.0000000000	1.030218067	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
8	535.04279000	6030.80520000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.70560000	0.062500000	0.11360000	0.11830000	0.081369613	0.91863039	0.0000000000	1.030371519	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
9	546.41272000	5032.13620000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69910000	0.062800000	0.11920000	0.11890000	0.082425515	0.91757448	0.0000000000	1.029411322	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
10	544.21835000	5288.93950000	1000.0000	0.00000000	0.00000000	0.00000000	0.00000000	1.0000000	0.69090000	0.062600000	0.11570000	0.13080000	0.083078965	0.91692104	0.0000000000	1.029651886	49.6558530	24.3105690	4.03967960	2.36736930	0.0412477050	0.327556400	2.25000000	6.13000000	0.820000000	60.0000000
