n	Xalm	Xprp	Xsps	Xgrs
1	0.7097	0.0656	0.1145	0.1102
2	0.7069	0.0648	0.1128	0.1154
3	0.7005	0.0638	0.1201	0.1156
4	0.7041	0.0642	0.1158	0.1158
5	0.7026	0.0625	0.1138	0.1211
6	0.6999	0.0641	0.1132	0.1228
7	0.7037	0.0626	0.1139	0.1199
8	0.7056	0.0625	0.1136	0.1183
9	0.6991	0.0628	0.1192	0.1189
10	0.6909	0.0626	0.1157	0.1308
11	0.6933	0.0608	0.1133	0.1326
12	0.6987	0.0624	0.1132	0.1257
13	0.6975	0.0614	0.1117	0.1294
14	0.6879	0.0616	0.1083	0.1423
15	0.696	0.0598	0.1058	0.1385
16	0.6952	0.0605	0.1045	0.1398
17	0.6945	0.0612	0.1032	0.141
18	0.6938	0.0619	0.102	0.1423
19	0.6967	0.0635	0.1067	0.133
20	0.6932	0.0623	0.1075	0.137
21	0.6811	0.0608	0.1009	0.1571
22	0.6891	0.0608	0.0951	0.155
23	0.6921	0.0598	0.0903	0.1578
24	0.695	0.0588	0.0854	0.1607
25	0.7021	0.0611	0.0833	0.1535
26	0.7052	0.063	0.079	0.1528
27	0.7083	0.0649	0.0747	0.152
28	0.7194	0.0648	0.0706	0.1452
29	0.7202	0.0662	0.0669	0.1467
30	0.7198	0.0667	0.0659	0.1477
31	0.7193	0.0672	0.0648	0.1486
32	0.7188	0.0678	0.0638	0.1496
33	0.7227	0.0709	0.0523	0.1541
34	0.7321	0.0724	0.0511	0.1444
35	0.7338	0.0758	0.0479	0.1424
36	0.7489	0.0744	0.0401	0.1365
37	0.7465	0.0798	0.0351	0.1386
38	0.7468	0.0816	0.0331	0.1386
39	0.7471	0.0833	0.0311	0.1385
40	0.7569	0.0821	0.0266	0.1344
41	0.7622	0.0828	0.024	0.131
42	0.7674	0.0836	0.0214	0.1276
43	0.7747	0.0891	0.0174	0.1187
44	0.7843	0.0895	0.0157	0.1105
45	0.783	0.0909	0.0147	0.1113
46	0.7817	0.0924	0.0137	0.1122
47	0.7818	0.0972	0.0125	0.1084
48	0.7828	0.0973	0.0121	0.1077
49	0.7838	0.0974	0.0117	0.107
50	0.7848	0.0975	0.0114	0.1063
51	0.7858	0.0977	0.011	0.1055
52	0.7868	0.0978	0.0106	0.1048
53	0.7878	0.0979	0.0102	0.1041
54	0.7834	0.0961	0.009	0.1115
55	0.7789	0.0944	0.0078	0.119
56	0.7792	0.0951	0.0076	0.1181
57	0.7795	0.0958	0.0074	0.1173
58	0.7798	0.0965	0.0072	0.1164
59	0.7802	0.0972	0.007	0.1156
60	0.7805	0.0979	0.0068	0.1148
61	0.7808	0.0987	0.0066	0.1139
62	0.7812	0.0994	0.0064	0.1131
63	0.7815	0.1001	0.0062	0.1122
64	0.7818	0.1008	0.006	0.1114
65	0.7822	0.1015	0.0058	0.1105
66	0.7865	0.0988	0.0045	0.1101
67	0.7767	0.1041	0.0052	0.1139
68	0.7771	0.1043	0.0048	0.1137
69	0.7775	0.1046	0.0044	0.1135
70	0.7779	0.1048	0.004	0.1133
71	0.7783	0.105	0.0036	0.1131
72	0.7773	0.1061	0.0031	0.1135
73	0.7763	0.1073	0.0026	0.1138
74	0.7756	0.1106	0.0025	0.1114
75	0.7749	0.1139	0.0023	0.109
76	0.7723	0.1158	0.0023	0.1096
77	0.7697	0.1177	0.0023	0.1102
