n	Xalm	Xprp	Xsps	Xgrs
1	0.7164	0.0701	0.0573	0.1562
2	0.7179	0.0708	0.0571	0.1542
3	0.7188	0.0681	0.0569	0.1563
4	0.7176	0.0716	0.0564	0.1544
5	0.7178	0.0684	0.0576	0.1562
6	0.7166	0.0708	0.0565	0.1561
7	0.7164	0.0701	0.0549	0.1587
8	0.7220	0.0685	0.0559	0.1536
9	0.7124	0.0702	0.0549	0.1626
10	0.7146	0.0687	0.0558	0.1610
11	0.7185	0.0731	0.0546	0.1538
12	0.7142	0.0724	0.0527	0.1607
13	0.7168	0.0729	0.0546	0.1558
14	0.7202	0.0713	0.0533	0.1551
15	0.7243	0.0726	0.0519	0.1512
16	0.7176	0.0701	0.0520	0.1603
17	0.7138	0.0706	0.0466	0.1690
18	0.7256	0.0730	0.0474	0.1541
19	0.7245	0.0762	0.0455	0.1538
20	0.7236	0.0763	0.0427	0.1574
21	0.7215	0.0756	0.0376	0.1653
22	0.7239	0.0790	0.0357	0.1614
23	0.7266	0.0804	0.0319	0.1611
24	0.7330	0.0818	0.0243	0.1608
25	0.7244	0.0836	0.0224	0.1696
26	0.7219	0.0825	0.0193	0.1764
27	0.7307	0.0849	0.0157	0.1687
28	0.7259	0.0844	0.0126	0.1771
29	0.7301	0.0880	0.0108	0.1711
30	0.7320	0.0929	0.0077	0.1674
31	0.7289	0.0955	0.0062	0.1693
32	0.7211	0.0987	0.0045	0.1757
33	0.7225	0.1015	0.0035	0.1725
34	0.7158	0.1024	0.0042	0.1776
