TheriakPTpath version: EDK20160901
No.,T(C),P(bars),Xalm,Xprp,Xsps,Xgrs,Mg#,Fe#,obs_Xalm,obs_Xprp,obs_Xsps,obs_Xgrs,obs_Mg#,obs_Fe#,GrtVolCC,GrtCumulMode,GrtG(J),blk_Si,blk_Al,blk_Fe,blk_Mg,blk_Mn,blk_Ca,blk_Na,blk_K,blk_Ti,blk_H
1,558.83613000,5907.14580000,0.71442810,0.070969127,0.057410173,0.15719260,0.090360806,0.90963919,0.71640000,0.070100000,0.057300000,0.15620000,0.089129053,0.91087095,13.66536746,0.7006909785,1.7816900e-12,68.0787050,10.8191370,2.86957160,1.96087040,0.0185064640,0.419756930,1.08000000,2.57000000,0.740000000,100.000000
2,559.22519000,5886.75630000,0.71618945,0.071580488,0.057206641,0.15502342,0.090864711,0.90913529,0.71790000,0.070800000,0.057100000,0.15420000,0.089767973,0.91023203,0.06875816500,0.7041973942,-2.0357000e-12,68.0627520,10.8085010,2.85817410,1.95973820,0.0175905780,0.417249180,1.08000000,2.57000000,0.740000000,100.000000
3,558.61351000,5932.16120000,0.71320773,0.070552373,0.056999072,0.15924082,0.090017817,0.90998218,0.71880000,0.068100000,0.056900000,0.15630000,0.086542127,0.91345787,0.001701492400,0.7043502349,4.9915600e-13,68.0610010,10.8073330,2.85691970,1.95961280,0.0174903840,0.416977670,1.08000000,2.57000000,0.740000000,100.000000
4,559.44999000,5891.78390000,0.71694451,0.071847811,0.056450639,0.15475704,0.091085840,0.90891416,0.71760000,0.071600000,0.056400000,0.15440000,0.090724785,0.90927522,0.1721234950,0.7131433239,1.1386400e-12,68.0588260,10.8058830,2.85536410,1.95945790,0.0173669430,0.416636050,1.08000000,2.57000000,0.740000000,100.000000
5,558.85723000,5935.72030000,0.71406097,0.070848983,0.056259175,0.15883087,0.090263835,0.90973616,0.71780000,0.068400000,0.057600000,0.15620000,0.087000763,0.91299924,0.0001983081000,0.7132175765,-7.7626800e-13,68.0565710,10.8043790,2.85374720,1.95929590,0.0172396300,0.416287030,1.08000000,2.57000000,0.740000000,100.000000
6,559.16000000,5913.49260000,1000.0000,0.00000000,0.00000000,0.00000000,0.00000000,1.0000000,0.71660000,0.070800000,0.056500000,0.15610000,0.089916180,0.91008382,0.0000000000,0.7131851373,5.4178900e-13,68.0565660,10.8043760,2.85374350,1.95929550,0.0172393420,0.416286220,1.08000000,2.57000000,0.740000000,100.000000
7,559.02132000,5957.16470000,0.71432752,0.070952322,0.055034175,0.15968598,0.090352915,0.90964709,0.71640000,0.070100000,0.054900000,0.15870000,0.089129053,0.91087095,0.2745464600,0.7273702831,1.5152300e-12,68.0531120,10.8020740,2.85127430,1.95904980,0.0170469750,0.415739800,1.08000000,2.57000000,0.740000000,100.000000
8,559.41874000,5928.32910000,0.71625709,0.071617853,0.055156405,0.15696865,0.090900026,0.90909997,0.72200000,0.068500000,0.055900000,0.15360000,0.086654016,0.91334598,0.0005114624400,0.7273536406,3.4816600e-13,68.0495690,10.7997120,2.84874340,1.95879840,0.0168519890,0.415174030,1.08000000,2.57000000,0.740000000,100.000000
9,558.62420000,5987.90910000,0.71235303,0.070282664,0.054803912,0.16256039,0.089802528,0.91019747,0.71240000,0.070200000,0.054900000,0.16260000,0.089700997,0.91029900,0.02251868930,0.7286009812,-1.3553600e-12,68.0492590,10.7995050,2.84852160,1.95877640,0.0168349160,0.415124390,1.08000000,2.57000000,0.740000000,100.000000
10,558.63880000,5986.92980000,0.71242343,0.070306430,0.054807119,0.16246302,0.089822087,0.91017791,0.71460000,0.068700000,0.055800000,0.16100000,0.087705860,0.91229414,0.0002963857600,0.7286147455,7.9225500e-13,68.0489830,10.7993210,2.84832490,1.95875700,0.0168197830,0.415079500,1.08000000,2.57000000,0.740000000,100.000000
11,560.14000000,5896.35970000,0.71940520,0.072732523,0.054550659,0.15331162,0.091818028,0.90818197,0.71850000,0.073100000,0.054600000,0.15380000,0.092344618,0.90765538,0.1570390720,0.7365568178,3.7427800e-12,68.0461630,10.7974410,2.84630550,1.95855520,0.0166654940,0.414634950,1.08000000,2.57000000,0.740000000,100.000000
12,559.60651000,5983.51220000,0.71604772,0.071583093,0.052617637,0.15975155,0.090884069,0.90911593,0.71420000,0.072400000,0.052700000,0.16070000,0.092041698,0.90795830,0.3939134800,0.7569548469,-7.4607000e-13,68.0384240,10.7922820,2.84074890,1.95799610,0.0162495840,0.413427370,1.08000000,2.57000000,0.740000000,100.000000
